,Ratings,Full Reviews,Short Reviews
77,3,Battery life is to short ...only 1 day working after charging,"['3', 'Does the job']"
78,5,Excellent item according to price,"['5', 'Awesome']"
79,5,Very nice,"['5', 'Best in the market!']"
80,3,Just ok,"['3', 'Just okay']"
81,3,Bad battery backup,"['3', 'Does the job']"
82,5,Good,"['5', 'Simply awesome']"
83,5,Not much,"['5', 'Just wow!']"
84,5,Nice,"['5', 'Brilliant']"
85,5,Good,"['5', 'Awesome']"
86,5,Supar watch,"['5', 'Excellent']"
87,3,It was just okay,"['3', 'Fair']"
88,5,Ekk no.....👌 value of prices,"['5', 'Excellent']"
89,4,Ok good price and good product,"['4', 'Wonderful']"
90,5,Good,"['5', 'Worth every penny']"
91,1,Very bad product,"['1', 'Did not meet expectations']"
92,5,Very nice smart watch 👌😊,"['5', 'Super!']"
93,5,Nice product,"['5', 'Wonderful']"
94,5,Good product,"['5', 'Great product']"
95,3,Battery backup is very very very bad,"['3', 'Nice']"
96,5,Good,"['5', 'Worth every penny']"
97,5,Best quality,"['5', 'Mind-blowing purchase']"
98,5,Nice,"['5', 'Fabulous!']"
99,5,Good,"['5', 'Mind-blowing purchase']"
100,5,Good product,"['5', 'Terrific']"
101,1,Not what i expected,"['1', 'Worst experience ever!']"
102,5,Nice good,"['5', 'Perfect product!']"
103,4,"Read this before you buy.

I bought this smartwatch during big billion sale and got it at a very cheap price. The initial impression was superb. This model is best for those who are having thin wrist.

Pros:
1. Small and compact size.
2. Numerous activity tracking (though I'm not sure whether all are accurate or not. I've checked only walking. While walk, I kept my phone GPS on with me and it provided nearly accurate data).
3. SPO2 available in this model and it's pretty accurate (validated s...
READ MORE","['4', 'Very Good']"
104,4,Good value for money everything is good only one feature is missing that is measuring blood pressure which is available in boat Strom watch and we can't keep our wallpaper on display overall performance is good and it track accurate step count,"['4', 'Wonderful']"
105,3,"Its my first experience on smart watch. I am just receiving notifications but missing some notifications, I mean I am receiving msg on smart watch. It's spo2 nd heart rate measurement is absolute chaos, I just left my watch on my bed and it's starts to detect heart beat, so I checked the spo2 nd to my surprise it had given 98% . And now I have started to talk to my bed nd stoped jumping on my best frnd❤😍","['3', 'Good']"
106,4,"Worth for money, Stylish + classy + good quality","['4', 'Pretty good']"
107,5,Best smart watch I love this smart watch,"['5', 'Terrific purchase']"
108,5,"Fabulous watch !
Budget friendly and great features.
Screen could be better but it's great at this much of low cost.
You can go with this watch for sure.","['5', 'Just wow!']"
109,3,"I was pretty much diassapointed with this product. The product was ok but not the Noise fit app. The app needs to be upgraded a lot n many of the features are missing in it.
Cons.
1. The display wasn't great but ok.
2. Vibration intensity was too low.
3. The app wasn't great need to inprove alot as major difference comes with it only.

Cons in the app.
1. App requires Location service to start.
2. Alarms were limited to 3.
3. No sedentary alarm, water remainder etc. need to be included.
4. V...
READ MORE","['3', 'Fair']"
110,5,Very nice 🙂,"['5', 'Great product']"
111,5,Nice watch 🥰,"['5', 'Classy product']"
112,4,Liked it,"['4', 'Delightful']"
113,5,Watch looking good,"['5', 'Awesome']"
114,5,Very nice & classy ❤️,"['5', 'Must buy!']"
115,5,"Display size is little small but you can adjust with it... Overall product is very good... Some issue with footsteps tracker but I think noise will update it soon.
Low price and High quality you can go for it","['5', 'Classy product']"
116,4,Good product best value for money big bilion day sale purchasing and happy 😊😊😇,"['4', 'Very Good']"
117,5,I am very happy.......🤗❤️ watch is amazing.thank you thank you so much flipkart 🤩🥳😍,"['5', 'Must buy!']"
118,3,Good,"['3', 'Decent product']"
119,5,I am in love with this watch❤😍,"['5', 'Terrific purchase']"
120,3,Looking and battery 🔋 is too good but some Fitch er is not good,"['3', 'Decent product']"
121,5,nice watch 'on this price point,"['5', 'Excellent']"
122,4,Good,"['4', 'Very Good']"
123,3,Watch very small size for adults,"['3', 'Fair']"
124,5,Best watch,"['5', 'Terrific purchase']"
125,5,Very nice,"['5', 'Highly recommended']"
126,5,It's very nice watch,"['5', 'Worth every penny']"
127,5,"Awesome,
Smartwatch is very nice and suprb,
Quality is 👌👌👌👌👌👌👌l","['5', 'Awesome']"
128,5,Nice samrtwach ❤❤❤,"['5', 'Wonderful']"
129,5,one of my best purchase from flipcart,"['5', 'Excellent']"
130,5,Very good product,"['5', 'Super!']"
131,4,"Nice products in this price 🤘🤘😎😎😎😍😘😘😀
Thanks noise","['4', 'Wonderful']"
132,5,Super achhi,"['5', 'Excellent']"
133,1,I buy this watch the first day I use its working perfectly but after some days it's not working,"['1', 'Not recommended at all']"
134,1,"No full display, look cheap, bit small too, & only replacement no refund. Rating 0/5, review after 30days of usage -
Watch nt charging! Cant return since return period is ended. Dont buy this, go for boat or someother brand. Dnt waste ur money guys. Tq","['1', 'Terrible product']"
135,5,I am just obsessed with this watch this is value for every penny must buy this watch,"['5', 'Brilliant']"
136,5,"That's amazing ,super quality loved it","['5', 'Great product']"
137,5,"Value for money, excellent, superb","['5', 'Simply awesome']"
138,4,"I have purchased for my wife, and she loves it most.","['4', 'Very Good']"
139,5,Best Product,"['5', 'Wonderful']"
140,5,Osm look & Fechers,"['5', 'Brilliant']"
141,4,Very nice watch I'm so happy for that ❤😍👌,"['4', 'Nice product']"
142,1,After 15 days my watch is not working,"['1', 'Worthless']"
143,3,It's nice. All features are working properly. If you want budget smartwatch you can buy it.,"['3', 'Nice']"
144,5,"A good watch in this price segment with all nessary features,with good display,good activities and overall design. overall nice perfomison,best smartwatch in this price range,with spo2","['5', 'Brilliant']"
145,5,Excellent to have this watch..just got little scratch on the left side but anyhow its ok..and looks smart,"['5', 'Mind-blowing purchase']"
146,1,battery i don’t like and other feature is good....,"['1', 'Absolute rubbish!']"
147,5,Beutiful smart watch,"['5', 'Perfect product!']"
148,1,"Noisefit pro Watch is not working since 3 days, It is completely Switched off and not taking charge","['1', 'Absolute rubbish!']"
149,5,Owsm product just go for it,"['5', 'Brilliant']"
150,4,"Nice product completely waterproof,fastest charging,you can control your messages , calls.","['4', 'Very Good']"
151,4,Everything is good..liked it,"['4', 'Good choice']"
152,5,Excellent quality,"['5', 'Wonderful']"
153,5,"Superb... Stylish got it awesom prize😍

Thanx Flipkart","['5', 'Brilliant']"
154,4,Value for money .. nice product,"['4', 'Good choice']"
155,5,"Very valuable product
Money savings
Best product","['5', 'Highly recommended']"
156,1,Bad standard,"['1', 'Hated it!']"
157,2,After 10 days it's totally dead now not powering on after charge 10hrs wrost product don't buy it,"['2', 'Bad quality']"
158,5,good product value for money,"['5', 'Fabulous!']"
159,5,Excellent product,"['5', 'Excellent']"
160,5,"This is a value for money Smartwatch in the segment.
Most feature rich Smartwatch in this price point.
Design and build is good.
Battery backup is little bit poor it should be more better.","['5', 'Great product']"
161,1,"I am writing this after using this smart watch for more than a month. Only concern is that this watch doesn't charge, charger was connected for only 2 times and stopped working. I don't know what's wrong with this product. Battery backup is very good, but what's the use as it doesn't get charged. Don't buy this product, if u r looking for a smart watch which serves ur purpose. If you want a showpiece buy which is more cheaper than this product.","['1', 'Horrible']"
162,5,This product is Amazing and its tracking is Correct Budget watch,"['5', 'Super!']"
163,5,Nice watch super duper,"['5', 'Excellent']"
164,5,Nice product ❤️,"['5', 'Worth every penny']"
165,4,Grt watch,"['4', 'Good choice']"
166,4,I love it 😘😘,"['4', 'Wonderful']"
167,1,"It shows me that i have walked for around 5000steps within 20mins; the real thing is that i was on my motorcycle 😂, even sometimes when i woke up at the morning, before i come out my bed, it shows me i have walked around 300 steps..","['1', 'Not recommended at all']"
168,5,"Very good product,, i would recommend every one,,,","['5', 'Brilliant']"
169,4,Good product ...,"['4', 'Nice product']"
170,5,Good product in this price,"['5', 'Highly recommended']"
171,4,"Nice smart watch at this price range...I loved it...
Thanks Noise and flipkart.","['4', 'Good quality product']"
172,3,Worst quality watch,"['3', 'Nice']"
173,5,"Go for it guys .. I loved it 👍
Thankyou Flipkart","['5', 'Fabulous!']"
174,5,Nice,"['5', 'Fabulous!']"
175,5,Good luck,"['5', 'Worth every penny']"
176,5,Good product,"['5', 'Must buy!']"
177,5,Superb strap quality...zzzzzblack color .I really loved it 😍😍😘😘😍😍😍😍😍😍... fitting is awesome.. Overall good ....,"['5', 'Worth every penny']"
178,1,Not Quality product and Not Connected to Mobile phone and Not Verify Contact no. Dial pad not available,"['1', 'Utterly Disappointed']"
179,5,"Very Good product
Nice","['5', 'Perfect product!']"
180,1,Sensors is not working properly,"['1', 'Did not meet expectations']"
181,5,Nice start watching,"['5', 'Must buy!']"
182,4,Overall it is good at this price point,"['4', 'Really Nice']"
183,5,"In love with the watch, value for money. best in market 👍🏻 go for it girls 😎","['5', 'Excellent']"
184,1,Very poor product don't buy this product i have very bad experience in this product.,"['1', 'Did not meet expectations']"
185,1,Display is too smalll ...,"['1', 'Hated it!']"
186,5,"Super product
Exelent quality","['5', 'Simply awesome']"
187,4,Very cool and worthy product,"['4', 'Very Good']"
188,1,Bluetooth rang is not good 😕😕,"['1', ""Don't waste your money""]"
189,5,Excellent product 😊,"['5', 'Highly recommended']"
190,4,This is nice product,"['4', 'Wonderful']"
191,2,Betery Highly Drain use for less than 1 hours,"['2', 'Not good']"
192,5,Amazing,"['5', 'Terrific purchase']"
193,5,Very nice but,"['5', 'Highly recommended']"
194,3,Battery bad quality,"['3', 'Just okay']"
195,5,Nice,"['5', 'Just wow!']"
196,1,Not good item,"['1', ""Don't waste your money""]"
197,5,Good,"['5', 'Worth every penny']"
198,1,Battery running is very bad.,"['1', 'Very poor']"
199,1,Battery backup Verry bad,"['1', 'Terrible product']"
200,5,Nice,"['5', 'Must buy!']"
201,4,Best look and better sarvice,"['4', 'Nice product']"
202,5,nice product,"['5', 'Classy product']"
203,4,"Read this before you buy.

I bought this smartwatch during big billion sale and got it at a very cheap price. The initial impression was superb. This model is best for those who are having thin wrist.

Pros:
1. Small and compact size.
2. Numerous activity tracking (though I'm not sure whether all are accurate or not. I've checked only walking. While walk, I kept my phone GPS on with me and it provided nearly accurate data).
3. SPO2 available in this model and it's pretty accurate (validated s...
READ MORE","['4', 'Very Good']"
204,4,Good value for money everything is good only one feature is missing that is measuring blood pressure which is available in boat Strom watch and we can't keep our wallpaper on display overall performance is good and it track accurate step count,"['4', 'Wonderful']"
205,3,"Its my first experience on smart watch. I am just receiving notifications but missing some notifications, I mean I am receiving msg on smart watch. It's spo2 nd heart rate measurement is absolute chaos, I just left my watch on my bed and it's starts to detect heart beat, so I checked the spo2 nd to my surprise it had given 98% . And now I have started to talk to my bed nd stoped jumping on my best frnd❤😍","['3', 'Good']"
206,4,"Worth for money, Stylish + classy + good quality","['4', 'Pretty good']"
207,5,Best smart watch I love this smart watch,"['5', 'Terrific purchase']"
208,5,"Fabulous watch !
Budget friendly and great features.
Screen could be better but it's great at this much of low cost.
You can go with this watch for sure.","['5', 'Just wow!']"
209,3,"I was pretty much diassapointed with this product. The product was ok but not the Noise fit app. The app needs to be upgraded a lot n many of the features are missing in it.
Cons.
1. The display wasn't great but ok.
2. Vibration intensity was too low.
3. The app wasn't great need to inprove alot as major difference comes with it only.

Cons in the app.
1. App requires Location service to start.
2. Alarms were limited to 3.
3. No sedentary alarm, water remainder etc. need to be included.
4. V...
READ MORE","['3', 'Fair']"
210,5,Very nice 🙂,"['5', 'Great product']"
211,5,Nice watch 🥰,"['5', 'Classy product']"
212,4,Liked it,"['4', 'Delightful']"
213,5,Watch looking good,"['5', 'Awesome']"
214,5,Very nice & classy ❤️,"['5', 'Must buy!']"
215,5,"Display size is little small but you can adjust with it... Overall product is very good... Some issue with footsteps tracker but I think noise will update it soon.
Low price and High quality you can go for it","['5', 'Classy product']"
216,4,Good product best value for money big bilion day sale purchasing and happy 😊😊😇,"['4', 'Very Good']"
217,5,I am very happy.......🤗❤️ watch is amazing.thank you thank you so much flipkart 🤩🥳😍,"['5', 'Must buy!']"
218,3,Good,"['3', 'Decent product']"
219,5,I am in love with this watch❤😍,"['5', 'Terrific purchase']"
220,3,Looking and battery 🔋 is too good but some Fitch er is not good,"['3', 'Decent product']"
221,5,nice watch 'on this price point,"['5', 'Excellent']"
222,4,Good,"['4', 'Very Good']"
223,3,Watch very small size for adults,"['3', 'Fair']"
224,5,Best watch,"['5', 'Terrific purchase']"
225,5,Very nice,"['5', 'Highly recommended']"
226,5,It's very nice watch,"['5', 'Worth every penny']"
227,5,"Awesome,
Smartwatch is very nice and suprb,
Quality is 👌👌👌👌👌👌👌l","['5', 'Awesome']"
228,5,Nice samrtwach ❤❤❤,"['5', 'Wonderful']"
229,5,one of my best purchase from flipcart,"['5', 'Excellent']"
230,5,Very good product,"['5', 'Super!']"
231,4,"Nice products in this price 🤘🤘😎😎😎😍😘😘😀
Thanks noise","['4', 'Wonderful']"
232,5,Super achhi,"['5', 'Excellent']"
233,1,I buy this watch the first day I use its working perfectly but after some days it's not working,"['1', 'Not recommended at all']"
234,1,"No full display, look cheap, bit small too, & only replacement no refund. Rating 0/5, review after 30days of usage -
Watch nt charging! Cant return since return period is ended. Dont buy this, go for boat or someother brand. Dnt waste ur money guys. Tq","['1', 'Terrible product']"
235,5,I am just obsessed with this watch this is value for every penny must buy this watch,"['5', 'Brilliant']"
236,5,"That's amazing ,super quality loved it","['5', 'Great product']"
237,5,"Value for money, excellent, superb","['5', 'Simply awesome']"
238,4,"I have purchased for my wife, and she loves it most.","['4', 'Very Good']"
239,5,Best Product,"['5', 'Wonderful']"
240,5,Osm look & Fechers,"['5', 'Brilliant']"
241,4,Very nice watch I'm so happy for that ❤😍👌,"['4', 'Nice product']"
242,1,After 15 days my watch is not working,"['1', 'Worthless']"
243,3,It's nice. All features are working properly. If you want budget smartwatch you can buy it.,"['3', 'Nice']"
244,5,"A good watch in this price segment with all nessary features,with good display,good activities and overall design. overall nice perfomison,best smartwatch in this price range,with spo2","['5', 'Brilliant']"
245,5,Excellent to have this watch..just got little scratch on the left side but anyhow its ok..and looks smart,"['5', 'Mind-blowing purchase']"
246,1,battery i don’t like and other feature is good....,"['1', 'Absolute rubbish!']"
247,5,Beutiful smart watch,"['5', 'Perfect product!']"
248,1,"Noisefit pro Watch is not working since 3 days, It is completely Switched off and not taking charge","['1', 'Absolute rubbish!']"
249,5,Owsm product just go for it,"['5', 'Brilliant']"
250,4,"Nice product completely waterproof,fastest charging,you can control your messages , calls.","['4', 'Very Good']"
251,4,Everything is good..liked it,"['4', 'Good choice']"
252,5,Excellent quality,"['5', 'Wonderful']"
253,5,"Superb... Stylish got it awesom prize😍

Thanx Flipkart","['5', 'Brilliant']"
254,4,Value for money .. nice product,"['4', 'Good choice']"
255,5,"Very valuable product
Money savings
Best product","['5', 'Highly recommended']"
256,1,Bad standard,"['1', 'Hated it!']"
257,2,After 10 days it's totally dead now not powering on after charge 10hrs wrost product don't buy it,"['2', 'Bad quality']"
258,5,good product value for money,"['5', 'Fabulous!']"
259,5,Excellent product,"['5', 'Excellent']"
260,5,"This is a value for money Smartwatch in the segment.
Most feature rich Smartwatch in this price point.
Design and build is good.
Battery backup is little bit poor it should be more better.","['5', 'Great product']"
261,1,"I am writing this after using this smart watch for more than a month. Only concern is that this watch doesn't charge, charger was connected for only 2 times and stopped working. I don't know what's wrong with this product. Battery backup is very good, but what's the use as it doesn't get charged. Don't buy this product, if u r looking for a smart watch which serves ur purpose. If you want a showpiece buy which is more cheaper than this product.","['1', 'Horrible']"
262,5,This product is Amazing and its tracking is Correct Budget watch,"['5', 'Super!']"
263,5,Nice watch super duper,"['5', 'Excellent']"
264,5,Nice product ❤️,"['5', 'Worth every penny']"
265,4,Grt watch,"['4', 'Good choice']"
266,4,I love it 😘😘,"['4', 'Wonderful']"
267,1,"It shows me that i have walked for around 5000steps within 20mins; the real thing is that i was on my motorcycle 😂, even sometimes when i woke up at the morning, before i come out my bed, it shows me i have walked around 300 steps..","['1', 'Not recommended at all']"
268,5,"Very good product,, i would recommend every one,,,","['5', 'Brilliant']"
269,4,Good product ...,"['4', 'Nice product']"
270,5,Good product in this price,"['5', 'Highly recommended']"
271,4,"Nice smart watch at this price range...I loved it...
Thanks Noise and flipkart.","['4', 'Good quality product']"
272,3,Worst quality watch,"['3', 'Nice']"
273,5,"Go for it guys .. I loved it 👍
Thankyou Flipkart","['5', 'Fabulous!']"
274,5,Nice,"['5', 'Fabulous!']"
275,5,Good luck,"['5', 'Worth every penny']"
276,5,Good product,"['5', 'Must buy!']"
277,5,Superb strap quality...zzzzzblack color .I really loved it 😍😍😘😘😍😍😍😍😍😍... fitting is awesome.. Overall good ....,"['5', 'Worth every penny']"
278,1,Not Quality product and Not Connected to Mobile phone and Not Verify Contact no. Dial pad not available,"['1', 'Utterly Disappointed']"
279,5,"Very Good product
Nice","['5', 'Perfect product!']"
280,1,Sensors is not working properly,"['1', 'Did not meet expectations']"
281,5,Nice start watching,"['5', 'Must buy!']"
282,4,Overall it is good at this price point,"['4', 'Really Nice']"
283,5,"In love with the watch, value for money. best in market 👍🏻 go for it girls 😎","['5', 'Excellent']"
284,1,Very poor product don't buy this product i have very bad experience in this product.,"['1', 'Did not meet expectations']"
285,1,Display is too smalll ...,"['1', 'Hated it!']"
286,5,"Super product
Exelent quality","['5', 'Simply awesome']"
287,4,Very cool and worthy product,"['4', 'Very Good']"
288,1,Bluetooth rang is not good 😕😕,"['1', ""Don't waste your money""]"
289,5,Excellent product 😊,"['5', 'Highly recommended']"
290,5,Nice product ♥️,"['5', 'Terrific purchase']"
291,5,nice watch highly recommended.,"['5', 'Worth every penny']"
292,5,Most buy,"['5', 'Mind-blowing purchase']"
293,5,Must buy,"['5', 'Just wow!']"
294,4,"Pros -
1. Design is awesome.
2. Build quality is superior.
3. Display quality is very good.
4. Battery life is average.
5. Connectivity is fine no issues.

Cons -
1. Heart rate monitor and SPO2 working fine any where if you put it like in your hand or in any object anywhere.👎
2. Accuracy rate of live tracking is average means 3 out of 5.","['4', 'Wonderful']"
295,5,Watch was awesome my wife fully satisfied with this watch design wise and feature wise best,"['5', 'Brilliant']"
296,4,Nothing is Best in this price but This is good product and quality is nice build and display decent sensor working,"['4', 'Pretty good']"
297,5,"Nice good brightness also super vibration also excellent super wake up when we rise hand 👏👏 👌👌 super I like it thank you flipkart go it Bros it's a chance to get this excellent watch display is outstanding....🥰🥰🥰🥰❤️❤️❤️❤️😋😋

Edit:- after 3 months I wrote this review watch is perfect excellent 👍👍👍👍 watch 😊😊⌚⌚⌚ I love it. Nice dizo thnks","['5', 'Classy product']"
298,5,"Nice smartwatch...

Pros: nice look
Metal build
Simple UI
Nice & colourful Display
5 - 7 days battery
Dizo application is good
5 atm water resistance

Cons: watch goes to little heavy side
Screen protection not specified
Few bugs in UI and Dizo app
Not suitable for Small wrests
No screen protector with watch","['5', 'Must buy!']"
299,5,The charger is so good with a different magnetic connecting system .the overall performance of the watch is so good . A must buy product for this range ..the screen size is just perfect for the hand .. loved it thank you dizo and realme,"['5', 'Terrific purchase']"
300,5,"This is the thing which you need , best watch ever ,the quality is good 'can't say bad ' it has metal body so no problem , battery is enough 7-8 days. 5 ATM , features are awesome but I will say Dizo to make it's sensors more accurate it is good but it can be made more accurate so by an update you can make it more accurate even it counts steps when I go to college on scooty you should work on it . Overall it is good , thankyou.","['5', 'Best in the market!']"
301,4,"Fall in Love with frist look.
Pros : * Excellent design , Metal build,
* Premium finished (looking rich)
* Super display, 600 nits brightness .
* 5 Atm water resistant so you can swim,
* Good battery backup
*Excellent quality sillicon strap.
Cons: Not accurate helth tracking,
No trees and body temperature monitoring,
Some times wake to raise not work,
Sleeping tracking not work s...
READ MORE","['4', 'Wonderful']"
302,5,"Nice watch.. Pretty good looking.. not the best and smoothest design & Ui ,but better than anything in this price.. Also lighter than my old watch unlike what everyone says..","['5', 'Super!']"
303,5,"It is the best smartwatch. Some of its pros are:
#It worth its cost.
#I like the wallpapers.
#Metallic built give it a premium look.
#Straps are very soft.
There are a few cons:
#Pixel density is less, that's why some wallpapers does not look good.
#Raise to wake is little slow but that's ok.
#It is a little heavy also.
Overall it is the best smartwatch under this price range.","['5', 'Awesome']"
304,4,"I really liked the watch but in the package there is no cotton given by the company for cleaning the watch😐
All features are good and it is handy also👍
It's been 2days and haven't charged it yet,so I can't give much about the battery 🔋 life.
Little disappoint of it's Raise to wake up option😪 It's not fast like Boat but it's ok👍
I bought it for 2300😐
Let's hope for the best❤️
If you are reading my comment don't judge my sentence because first time I am reviewing ☺️in my entire life
Thank...
READ MORE","['4', 'Wonderful']"
305,2,"So look and design are really killing watch set is good even it's work perfect for iPhone feature are good if we compare with other competitive companies in this price segment but the display experience is worst rise to wake is too lazy cons are more then pros personally I don't prefer this product to u guys
Hope u like my rivew","['2', 'Moderate']"
306,5,"I Like the Design of Dizooooo it's Super, Build Quality Great Display Nice and Tracking also Good over all Value for Money 😘","['5', 'Classy product']"
307,3,"Pros: Excellent design, superb display, great battery,
Cons: not accurate health tracking, no stress monitoring, not having a good app on mobile
Showing SPO2 on cloth 😂","['3', 'Good']"
308,4,"Good Value for money Dizo watch at this price point
*Pros
1. Aluminum Body Design
2. Bright Display
3. Accurate HR & SpO2
4. 10+ Days Battery Life
5. All Notification on watch

*Cons
1. Tap to wake feature
2. Extra swap straps not available from Dizo","['4', 'Really Nice']"
309,4,"It will be fine for your daily use, if you are a this on monitoring your fitness on various sports mode, it will not fit for you, because its having only 15 modes, make sure your expectations is available in this or not . I am not a sports person so it is fine for my use.","['4', 'Pretty good']"
310,4,Watch is good looking. But the Dizo iOS app should be more attractive and more user handy and need to be improved a lot.,"['4', 'Good quality product']"
311,5,"Best option under 2000.Spo2 and heart rate working good and watch is really fast in sync as soon as you get notification in your phone without any lag watch also receive msg (same time notification).
*Good looks
*100 + watch face
* Real spo2 and HR sensor(24 hr HR Monitoring,high and low heart rate reminder you can set it through realme link app)
* Fast synchronization with your phone
* Value for money","['5', 'Great product']"
312,3,"Well, The watch is good, Has a lot of watch faces when connected with the Dizo app. Good enough battery life and charging time. But, few things I couldn't skip saying
- It only connects with DIZO App. Watches like Dizo Watch Pro, Dizo Watch, Realme Watch S/S Pro Realme Watch Pro/ 2 Pro connects with Realme Link Application and can sync data with Google Fit.
But somehow they didnt add Dizo Watch 2 into Realme Link and the QR Fails to recognise device in Realme Link.
I can only connect it to DI...
READ MORE","['3', 'No Realme Link. Only DIZO App connnection. So, No Google Fit']"
313,5,"best watch available for this price and features are awesome with the display weight no defective product and great features and 15 sports mode the sensors are high quality with find my phone option and 4 heart modes new displays and very good battery life love the product and cannot find any other watch like this
these are better then mi band and other smart watches you get the price very low mentioned and don't judge it by the price you will love the product and battery charging is awesome...
READ MORE","['5', 'Awesome']"
